 ticker_symbol | expiration_date | strike_price | side |  delta  | gamma  |  theta  |   vega   |   iv   |  bid   |  ask   | volume |   oi   | probability_of_profit | probability_of_touch | implied_move |  skew  | skew_delta | percentile_rank_iv | percentile_rank_delta | elasticity | notional_value_oi |       mid_price        | price_distance_to_strike |   computed_elasticity    |    delta_vega_ratio     | delta_status | gamma_status |           theta_status            | vega_status | iv_status | pop_status | pot_status |     pop_delta_consistency      |       delta_price_consistency       | bid_ask_consistency | skew_status |     skew_delta_status     |     elasticity_status      |             delta_vega_status              | iv_percentile_status | delta_percentile_status |                   status                   
 AAPL          | 2024-12-27      |       280.00 | Call |  0.0230 | 0.0040 | -0.0470 |   1.9110 | 0.4020 |   0.01 |   0.60 |     20 |    786 |                0.5228 |               0.0460 |       0.0421 | 1.0691 |     1.0230 |             0.4000 |                0.3700 |     0.1739 |     22008000.0000 | 0.30500000000000000000 |                    24.85 |  19.24081967213114754098 |  0.01203558346415489273 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       262.50 | Call |  0.0600 | 0.0240 | -0.0440 |   4.2260 | 0.1420 |   0.15 |   0.17 |   5076 |   3672 |                0.5497 |               0.1200 |       0.0149 | 0.7845 |     1.0230 |             0.0200 |                0.4600 |     0.4000 |     96390000.0000 | 0.16000000000000000000 |                     7.35 |  95.68125000000000000000 |  0.01419782300047326077 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       265.00 | Call |  0.0290 | 0.0120 | -0.0260 |   2.3610 | 0.1540 |   0.07 |   0.08 |   3647 |   4362 |                0.5295 |               0.0580 |       0.0161 | 0.8603 |     1.0290 |             0.0700 |                0.3900 |     0.4138 |    115593000.0000 | 0.07500000000000000000 |                     9.85 |  98.65800000000000000000 |  0.01228293096145700974 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       267.50 | Call |  0.0150 | 0.0070 | -0.0160 |   1.3470 | 0.1620 |   0.03 |   0.04 |   1525 |   2088 |                0.5079 |               0.0300 |       0.0170 | 0.7980 |     1.0150 |             0.0900 |                0.2800 |     0.4667 |     55854000.0000 | 0.03500000000000000000 |                    12.35 | 109.35000000000000000000 |  0.01113585746102449889 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       270.00 | Call |  0.0050 | 0.0020 | -0.0060 |   0.5100 | 0.1690 |   0.01 |   0.02 |    867 |    955 |                0.4862 |               0.0100 |       0.0177 | 0.6926 |     1.0050 |             0.1200 |                0.1600 |     0.4000 |     25785000.0000 | 0.01500000000000000000 |                    14.85 |  85.05000000000000000000 |  0.00980392156862745098 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       272.50 | Call |  0.0080 | 0.0030 | -0.0110 |   0.7840 | 0.1990 |   0.01 |   0.03 |    190 |    310 |                0.4966 |               0.0160 |       0.0208 | 0.6678 |     1.0080 |             0.1700 |                0.2000 |     0.3750 |      8447500.0000 | 0.02000000000000000000 |                    17.35 | 102.06000000000000000000 |  0.01020408163265306122 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       275.00 | Call |  0.0080 | 0.0030 | -0.0120 |   0.7500 | 0.2410 |   0.00 |   0.04 |     63 |    826 |                0.4966 |               0.0160 |       0.0252 | 0.7151 |     1.0080 |             0.2200 |                0.2000 |     0.3750 |     22715000.0000 | 0.02000000000000000000 |                    19.85 | 102.06000000000000000000 |  0.01066666666666666667 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2024-12-27      |       277.50 | Call |  0.0040 | 0.0010 | -0.0070 |   0.4330 | 0.2470 |   0.00 |   0.01 |    111 |    162 |                0.4832 |               0.0080 |       0.0259 |        |            |             0.2400 |                0.1300 |     0.2500 |      4495500.0000 | 0.00500000000000000000 |                    22.35 | 204.12000000000000000000 |  0.00923787528868360277 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2024-12-27      |       285.00 | Call |  0.0000 | 0.0000 |  0.0000 |   0.0000 | 0.3090 |   0.00 |   0.01 |     11 |    134 |                0.4705 |               0.0000 |       0.0323 |        |            |             0.3000 |                0.0000 |            |      3819000.0000 | 0.00500000000000000000 |                    29.85 |   0.00000000000000000000 |                         |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            | Error: Delta/Vega Ratio Computation Failed |                      |                         | Error: Delta/Vega Ratio Computation Failed
 AAPL          | 2024-12-27      |       282.50 | Call |  0.0210 | 0.0040 | -0.0480 |   1.8060 | 0.3430 |   0.00 |   0.16 |     15 |   1256 |                0.5198 |               0.0420 |       0.0359 |        |            |             0.3300 |                0.3500 |     0.1905 |     35482000.0000 | 0.08000000000000000000 |                    27.35 |  66.97687500000000000000 |  0.01162790697674418605 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2024-12-27      |       290.00 | Call |  0.0000 | 0.0000 |  0.0000 |   0.0130 | 0.3500 |   0.00 |   0.01 |      1 |    260 |                0.4705 |               0.0000 |       0.0366 | 0.7202 |     1.0000 |             0.3400 |                0.0000 |            |      7540000.0000 | 0.00500000000000000000 |                    34.85 |   0.00000000000000000000 |      0.0000000000000000 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2024-12-27      |       250.00 | Put  | -0.2200 | 0.0480 | -0.1260 |  10.4460 | 0.1790 |   0.75 |   0.78 |  27299 |   9476 |                0.8684 |               0.4400 |       0.0187 | 1.1118 |    -0.9740 |             0.1300 |                0.5100 |    -0.2182 |    236900000.0000 | 0.76500000000000000000 |                    -5.15 | -73.37647058823529411765 | -0.02106069308826345012 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2024-12-27      |       265.00 | Put  | -1.0000 | 0.0000 |  0.0000 |   0.0000 | 0.1790 |   9.65 |  10.90 |     35 |     70 |                0.9918 |               1.0000 |       0.0187 | 1.1623 |    -1.0290 |             0.1300 |                0.9100 |     0.0000 |      1855000.0000 |    10.2750000000000000 |                     9.85 |     -24.8321167883211679 |                         |              |              |                                   |             |           |            |            | Error: POP mismatch with Delta | Error: ITM Put with Positive Delta  |                     |             | Error: Invalid Delta Skew |                            | Error: Delta/Vega Ratio Computation Failed |                      |                         | Error: POP mismatch with Delta
 AAPL          | 2024-12-27      |       262.50 | Put  | -0.9630 | 0.0190 | -0.0110 |   2.8470 | 0.1810 |   7.35 |   8.60 |      9 |     32 |                0.9888 |               1.0000 |       0.0189 | 1.2746 |    -1.0230 |             0.1500 |                0.7900 |    -0.0197 |       840000.0000 |     7.9750000000000000 |                     7.35 |     -30.8099623824451411 | -0.33825079030558482613 |              |              |                                   |             |           |            |            | Error: POP mismatch with Delta | Error: ITM Put with Positive Delta  |                     |             | Error: Invalid Delta Skew | Error: Negative Elasticity |                                            |                      |                         | Error: POP mismatch with Delta
 AAPL          | 2024-12-27      |       247.50 | Put  | -0.1450 | 0.0330 | -0.1100 |   8.0360 | 0.1980 |   0.47 |   0.52 |  17016 |   7369 |                0.8474 |               0.2900 |       0.0207 | 0.9340 |    -0.9520 |             0.1600 |                0.4900 |    -0.2276 |    182382750.0000 | 0.49500000000000000000 |                    -7.65 | -74.74090909090909090909 | -0.01804380288700846192 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2024-12-27      |       267.50 | Put  | -1.0000 | 0.0000 |  0.0000 |   0.0000 | 0.2030 |  12.00 |  13.50 |      2 |     30 |                0.9918 |               1.0000 |       0.0213 | 1.2531 |    -1.0150 |             0.1800 |                0.9100 |     0.0000 |       802500.0000 |    12.7500000000000000 |                    12.35 |     -20.0117647058823529 |                         |              |              |                                   |             |           |            |            | Error: POP mismatch with Delta | Error: ITM Put with Positive Delta  |                     |             | Error: Invalid Delta Skew |                            | Error: Delta/Vega Ratio Computation Failed |                      |                         | Error: POP mismatch with Delta
 AAPL          | 2025-01-03      |       252.50 | Call |  0.6090 | 0.0460 | -0.1240 |  19.1320 | 0.1510 |   3.10 |   6.00 |   1782 |    385 |                0.6634 |               1.0000 |       0.0262 | 0.9042 |     0.9960 |             0.0319 |                0.5745 |     0.0755 |      9721250.0000 |     4.5500000000000000 |                    -2.65 |      34.1508461538461538 |  0.03183148651473970312 |              |              |                                   |             |           |            |            |                                | Error: ITM Call with Negative Delta |                     |             |                           |                            |                                            |                      |                         | Error: ITM Call with Negative Delta
 AAPL          | 2025-01-03      |       262.50 | Call |  0.1450 | 0.0320 | -0.0600 |  11.3770 | 0.1520 |   0.70 |   0.76 |   1114 |    873 |                0.5804 |               0.2900 |       0.0264 | 1.2991 |     1.0600 |             0.0426 |                0.4787 |     0.2207 |     22916250.0000 | 0.73000000000000000000 |                     7.35 |  50.68047945205479452055 |  0.01274501186604553046 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2025-01-03      |       265.00 | Call |  0.0960 | 0.0220 | -0.0480 |   8.4910 | 0.1530 |   0.38 |   0.42 |   2550 |  10847 |                0.5647 |               0.1920 |       0.0266 | 0.9162 |     1.0350 |             0.0532 |                0.4468 |     0.2292 |    287445500.0000 | 0.40000000000000000000 |                     9.85 |  61.23600000000000000000 |  0.01130608879990578259 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew |                            |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2025-01-03      |       267.50 | Call |  0.0600 | 0.0150 | -0.0340 |   5.9020 | 0.1540 |   0.18 |   0.23 |    646 |     10 |                0.5497 |               0.1200 |       0.0267 |        |            |             0.0638 |                0.4149 |     0.2500 |       267500.0000 | 0.20500000000000000000 |                    12.35 |  74.67804878048780487805 |  0.01016604540833615723 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       277.50 | Call |  0.0120 | 0.0030 | -0.0110 |   1.5960 | 0.1870 |   0.03 |   0.04 |     14 |      5 |                0.5049 |               0.0240 |       0.0325 |        |            |             0.2021 |                0.1170 |     0.2500 |       138750.0000 | 0.03500000000000000000 |                    22.35 |  87.48000000000000000000 |  0.00751879699248120301 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       280.00 | Call |  0.0110 | 0.0030 | -0.0110 |   1.4660 | 0.2070 |   0.01 |   0.07 |      9 |    237 |                0.5026 |               0.0220 |       0.0359 | 0.6330 |     0.9720 |             0.2447 |                0.0638 |     0.2727 |      6636000.0000 | 0.04000000000000000000 |                    24.85 |  70.16625000000000000000 |  0.00750341064120054570 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       285.00 | Call |  0.0060 | 0.0010 | -0.0060 |   0.8020 | 0.2250 |   0.01 |   0.03 |     24 |    316 |                0.4892 |               0.0120 |       0.0391 | 0.5725 |     0.9570 |             0.2660 |                0.0426 |     0.1667 |      9006000.0000 | 0.02000000000000000000 |                    29.85 |  76.54500000000000000000 |  0.00748129675810473815 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       282.50 | Call |  0.0260 | 0.0040 | -0.0290 |   3.0040 | 0.2520 |   0.00 |   0.27 |     10 |      0 |                0.5266 |               0.0520 |       0.0437 |        |            |             0.3085 |                0.2872 |     0.1538 |            0.0000 | 0.13500000000000000000 |                    27.35 |  49.14000000000000000000 |  0.00865512649800266312 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       290.00 | Call |  0.0050 | 0.0010 | -0.0060 |   0.7020 | 0.2570 |   0.01 |   0.03 |      3 |    132 |                0.4862 |               0.0100 |       0.0446 | 0.5868 |     0.9610 |             0.3191 |                0.0319 |     0.2000 |      3828000.0000 | 0.02000000000000000000 |                    34.85 |  63.78750000000000000000 |  0.00712250712250712251 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       300.00 | Call |  0.0000 | 0.0000 |  0.0000 |   0.0000 | 0.3140 |   0.00 |   0.02 |     69 |   1079 |                0.4705 |               0.0000 |       0.0545 | 0.6206 |     0.9670 |             0.3936 |                0.0000 |            |     32370000.0000 | 0.01000000000000000000 |                    44.85 |   0.00000000000000000000 |                         |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            | Error: Delta/Vega Ratio Computation Failed |                      |                         | Error: Delta/Vega Ratio Computation Failed
 AAPL          | 2025-01-03      |       295.00 | Call |  0.0110 | 0.0020 | -0.0170 |   1.4470 | 0.3210 |   0.00 |   0.12 |      1 |    421 |                0.5026 |               0.0220 |       0.0557 | 0.6688 |     0.9700 |             0.4043 |                0.0638 |     0.1818 |     12419500.0000 | 0.06000000000000000000 |                    39.85 |  46.77750000000000000000 |  0.00760193503800967519 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       305.00 | Call |  0.0160 | 0.0020 | -0.0310 |   2.0340 | 0.3310 |   0.00 |   0.25 |      1 |     66 |                0.5108 |               0.0320 |       0.0575 |        |            |             0.4362 |                0.1489 |     0.1250 |      2013000.0000 | 0.12500000000000000000 |                    49.85 |  32.65920000000000000000 |  0.00786627335299901672 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       310.00 | Call |  0.0500 | 0.0040 | -0.1090 |   5.1520 | 0.3580 |   0.00 |   0.25 |      1 |     62 |                0.5453 |               0.1000 |       0.0621 |        |            |             0.4894 |                0.3830 |     0.0800 |      1922000.0000 | 0.12500000000000000000 |                    54.85 | 102.06000000000000000000 |  0.00970496894409937888 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       315.00 | Call |  0.0480 | 0.0030 | -0.1110 |   4.9440 | 0.3850 |   0.00 |   0.25 |      7 |     13 |                0.5423 |               0.0960 |       0.0668 |        |            |             0.5106 |                0.3723 |     0.0625 |       409500.0000 | 0.12500000000000000000 |                    59.85 |  97.97760000000000000000 |  0.00970873786407766990 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       190.00 | Put  | -0.0070 | 0.0010 | -0.0210 |   0.9350 | 0.6420 |   0.06 |   0.11 |    140 |     75 |                0.6283 |               0.0140 |       0.1115 | 0.7763 |    -0.9620 |             0.7128 |                0.0532 |    -0.1429 |      1425000.0000 | 0.08500000000000000000 |                   -65.15 | -21.01235294117647058824 | -0.00748663101604278075 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2025-01-03      |       195.00 | Put  | -0.0200 | 0.0010 | -0.0600 |   2.4500 | 0.6540 |   0.05 |   0.32 |     35 |    427 |                0.7053 |               0.0400 |       0.1135 | 0.8538 |    -0.9720 |             0.7447 |                0.2021 |    -0.0500 |      8326500.0000 | 0.18500000000000000000 |                   -60.15 | -27.58378378378378378378 | -0.00816326530612244898 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2025-01-03      |       185.00 | Put  | -0.0040 | 0.0000 | -0.0130 |   0.5970 | 0.6650 |   0.03 |   0.09 |     13 |     84 |                0.5894 |               0.0080 |       0.1154 | 0.7670 |    -0.9640 |             0.7553 |                0.0213 |     0.0000 |      1554000.0000 | 0.06000000000000000000 |                   -70.15 | -17.01000000000000000000 | -0.00670016750418760469 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       165.00 | Put  | -0.0230 | 0.0010 | -0.1140 |   2.7200 | 0.8040 |   0.00 |   1.11 |     48 |    148 |                0.7248 |               0.0460 |       0.1396 | 0.7065 |    -0.9920 |             0.7872 |                0.2447 |    -0.0435 |      2442000.0000 | 0.55500000000000000000 |                   -90.15 | -10.57378378378378378378 | -0.00845588235294117647 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2025-01-03      |       180.00 | Put  | -0.0220 | 0.0010 | -0.0880 |   2.6600 | 0.8130 |   0.00 |   0.30 |     21 |     97 |                0.7195 |               0.0440 |       0.1411 | 0.8847 |    -0.9860 |             0.7979 |                0.2340 |    -0.0455 |      1746000.0000 | 0.15000000000000000000 |                   -75.15 | -37.42200000000000000000 | -0.00827067669172932331 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2025-01-03      |       160.00 | Put  | -0.0110 | 0.0000 | -0.0580 |   1.4900 | 0.8400 |   0.00 |   0.26 |   1791 |     25 |                0.6574 |               0.0220 |       0.1458 | 0.6796 |    -0.9800 |             0.8191 |                0.0638 |     0.0000 |       400000.0000 | 0.13000000000000000000 |                   -95.15 | -21.58961538461538461538 | -0.00738255033557046980 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           |                            |                                            |                      |                         | Valid
 AAPL          | 2025-01-03      |       175.00 | Put  | -0.0250 | 0.0010 | -0.1070 |   2.9090 | 0.8440 |   0.00 |   0.84 |     15 |    163 |                0.7322 |               0.0500 |       0.1465 | 0.8773 |    -0.9920 |             0.8298 |                0.2766 |    -0.0400 |      2852500.0000 | 0.42000000000000000000 |                   -80.15 | -15.18750000000000000000 | -0.00859401856308009625 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2025-01-03      |       245.00 | Put  | -0.1600 | 0.0240 | -0.0860 |  12.1360 | 0.2060 |   0.82 |   0.89 |   7117 |   5653 |                0.8527 |               0.3200 |       0.0358 | 0.9671 |    -0.9560 |             0.2340 |                0.4894 |    -0.1500 |    138498500.0000 | 0.85500000000000000000 |                   -10.15 | -47.74736842105263157895 | -0.01318391562294001318 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2025-01-03      |       242.50 | Put  | -0.1280 | 0.0190 | -0.0820 |  10.4330 | 0.2300 |   0.60 |   0.82 |    472 |    132 |                0.8414 |               0.2560 |       0.0399 | 0.8550 |    -0.9180 |             0.2766 |                0.4681 |    -0.1484 |      3201000.0000 | 0.71000000000000000000 |                   -12.65 | -45.99887323943661971831 | -0.01226876258027413016 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2025-01-03      |       240.00 | Put  | -0.1020 | 0.0150 | -0.0760 |   8.8770 | 0.2390 |   0.52 |   0.55 |   3783 |   5055 |                0.8287 |               0.2040 |       0.0415 | 1.0042 |    -1.0560 |             0.2979 |                0.4574 |    -0.1471 |    121320000.0000 | 0.53500000000000000000 |                   -15.15 | -48.64542056074766355140 | -0.01149036836769178777 |              |              |                                   |             |           |            |            |                                |                                     |                     |             | Error: Invalid Delta Skew | Error: Negative Elasticity |                                            |                      |                         | Error: Invalid Delta Skew
 AAPL          | 2025-01-03      |       237.50 | Put  | -0.0830 | 0.0120 | -0.0700 |   7.6450 | 0.2590 |   0.42 |   0.48 |    104 |    207 |                0.8175 |               0.1660 |       0.0450 | 0.8662 |    -0.9410 |             0.3298 |                0.4362 |    -0.1446 |      4916250.0000 | 0.45000000000000000000 |                   -17.65 | -47.06100000000000000000 | -0.01085676913015042511 |              |              |                                   |             |           |            |            |                                |                                     |                     |             |                           | Error: Negative Elasticity |                                            |                      |                         | Error: Negative Elasticity
 AAPL          | 2025-01-03      |       262.50 | Put  | -0.9150 | 0.0280 | -0.0170 |   7.7630 | 0.1170 |   6.00 |   9.60 |     58 |      2 |                0.9761 |               1.0000 |       0.0203 | 0.7697 |    -1.0600 |             0.0000 |                0.7234 |    -0.0306 |        52500.0000 |     7.8000000000000000 |                     7.35 |     -29.9310576923076923 | -0.11786680407059126626 |              |              |                                   |             |           |            |            | Error: POP mismatch with Delta | Error: ITM Put with Positive Delta  |                     |             | Error: Invalid Delta Skew | Error: Negative Elasticity |                                            |                      |                         | Error: POP mismatch with Delta
 AAPL          | 2025-01-03      |       257.50 | Put  | -0.6980 | 0.0660 | -0.0560 |  17.3770 | 0.1210 |   2.68 |   4.95 |    193 |     11 |                0.9439 |               1.0000 |       0.0210 | 0.7516 |    -1.0760 |             0.0106 |                0.5851 |    -0.0946 |       283250.0000 |     3.8150000000000000 |                     2.35 |     -46.6827522935779817 | -0.04016803821142890027 |              |              |                                   |             |           |            |            | Error: POP mismatch with Delta | Error: ITM Put with Positive Delta  |                     |             | Error: Invalid Delta Skew | Error: Negative Elasticity |                                            |                      |                         | Error: POP mismatch with Delta
